GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JavaFX11_MILESTONE1,hu.unideb.inf,FXMLLoginSceneController,93,0,0,0,25,0,3,0,3,0
JavaFX11_MILESTONE1,hu.unideb.inf,FXMLMainmenuSceneController,183,0,0,0,49,0,5,0,5,0
JavaFX11_MILESTONE1,hu.unideb.inf,FXMLLoginAdminSceneController,126,0,8,0,33,0,9,0,5,0
JavaFX11_MILESTONE1,hu.unideb.inf,MainApp,44,0,0,0,15,0,3,0,3,0
JavaFX11_MILESTONE1,hu.unideb.inf,FXMLDailyInventorySceneController,121,0,2,0,34,0,6,0,5,0
JavaFX11_MILESTONE1,hu.unideb.inf,FXMLCloseSceneController,48,0,0,0,13,0,2,0,2,0
JavaFX11_MILESTONE1,hu.unideb.inf,Main,6,0,0,0,3,0,2,0,2,0
JavaFX11_MILESTONE1,hu.unideb.inf,FXMLSignInSceneController,173,0,6,0,48,0,8,0,5,0
JavaFX11_MILESTONE1,hu.unideb.inf,FXMLMenuSceneController,532,0,8,0,114,0,7,0,3,0
JavaFX11_MILESTONE1,hu.unideb.inf,FXMLLoginUserSceneController,208,0,12,0,52,0,12,0,6,0
JavaFX11_MILESTONE1,hu.unideb.inf,FXMLBasketSceneController,1039,0,76,0,214,0,52,0,14,0
JavaFX11_MILESTONE1,hu.unideb.inf,FXMLDailySalesSceneController,168,0,8,0,40,0,9,0,5,0
JavaFX11_MILESTONE1,hu.unideb.inf,FXMLScenes,32,0,2,0,9,0,3,0,2,0
JavaFX11_MILESTONE1,hu.unideb.inf,FXMLOrderSceneController,774,0,4,0,146,0,7,0,5,0
JavaFX11_MILESTONE1,hu.unideb.inf,Application,633,0,4,0,197,0,5,0,3,0
JavaFX11_MILESTONE1,hu.unideb.inf,FXMLUserSiteSceneController,582,0,0,0,112,0,9,0,9,0
JavaFX11_MILESTONE1,hu.unideb.inf.model,JpaStorageDAO,67,0,2,0,18,0,6,0,5,0
JavaFX11_MILESTONE1,hu.unideb.inf.model,JpaUsersDao,43,0,0,0,12,0,4,0,4,0
JavaFX11_MILESTONE1,hu.unideb.inf.model,Admins,30,81,6,8,15,21,11,7,5,6
JavaFX11_MILESTONE1,hu.unideb.inf.model,Food,35,82,6,6,15,21,11,6,5,6
JavaFX11_MILESTONE1,hu.unideb.inf.model,JpaDailysaleDAO,47,0,0,0,14,0,5,0,5,0
JavaFX11_MILESTONE1,hu.unideb.inf.model,Storage,28,86,6,8,14,22,10,8,4,7
JavaFX11_MILESTONE1,hu.unideb.inf.model,Dailysale,30,75,6,6,14,20,11,6,5,6
JavaFX11_MILESTONE1,hu.unideb.inf.model,Drink,21,59,5,5,10,16,8,5,3,5
JavaFX11_MILESTONE1,hu.unideb.inf.model,Users,40,119,7,11,20,30,14,10,7,8
JavaFX11_MILESTONE1,hu.unideb.inf.model,JpaAdminsDao,43,0,0,0,12,0,4,0,4,0
